epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,fold,training_mode
1,66542.15680803571,256.02664,257.95767,-65.81540553990834,70036.03880208333,263.0241,264.64322,-80.6651550716257,1,head_only
2,63266.85797991072,249.54843,251.52904,-62.526657969474904,66651.87552083333,256.50845,258.17026,-76.71907309557469,1,head_only
3,60141.35630580357,243.14597,245.23734,-59.38832140208987,63426.57109375,250.15004,251.84633,-72.95822105740642,1,head_only
4,57112.72154017857,236.82762,238.98268,-56.34724989632245,60202.346354166664,243.61526,245.36166,-69.19862736867314,1,head_only
5,54203.60881696428,230.6342,232.8167,-53.4261905455574,57444.897135416664,237.8848,239.67665,-65.98331989248527,1,head_only
6,51353.09375,224.3905,226.61221,-50.56397027345042,54840.17083333333,232.34335,234.17978,-62.946095811304424,1,head_only
7,48727.17857142857,218.46474,220.74234,-47.927271570925186,51979.976302083334,226.10362,227.99118,-59.61098035029733,1,head_only
8,46059.41880580357,212.26332,214.61458,-45.2485579422399,48998.10885416667,219.42268,221.35516,-56.133988069975985,1,head_only
9,43680.74888392857,206.5686,208.9994,-42.86011933838504,46867.91484375,214.4962,216.48999,-53.65008744968231,1,head_only
10,41210.689174107145,200.58798,203.00415,-40.37991649820094,44431.88776041667,208.72914,210.78871,-50.809570253667665,1,head_only
11,38972.13978794643,194.92111,197.41362,-38.13217499629186,42150.74322916667,203.17242,205.30646,-48.14965342072183,1,head_only
12,36827.87360491072,189.2538,191.9059,-35.979104756221346,40116.3359375,198.10768,200.29062,-45.77744305392751,1,head_only
13,34794.95228794643,183.78421,186.53404,-33.93783452328731,38064.03697916667,192.83609,195.10007,-43.38437087569322,1,head_only
14,32736.03390066964,178.18718,180.93102,-31.87046096839203,35723.37213541667,186.683,189.00627,-40.655051164044295,1,head_only
15,30989.023577008928,173.02441,176.03699,-30.116276396930935,34014.26458333333,182.03664,184.42955,-38.66215616912163,1,head_only
16,29154.900390625,167.75523,170.74806,-28.274622024859433,32095.985677083332,176.66335,179.15352,-36.42535485847274,1,head_only
